index,Consignatario,Origen,Cntr 20,Cntr 40,Flete,Categoria,Origen_ALEMANIA,Origen_BRASIL,Origen_CANADA,Origen_CHILE,Origen_CHINA,Origen_COLOMBIA,Origen_COSTA RICA,Origen_ESPAÑA,Origen_MEXICO,Origen_PAKISTAN,Origen_PANAMA,Origen_TURQUIA,Origen_USA,Origen_VIETNAM DEL NORTE
48,SEIN SRL,CHINA,0,1,8450.0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0
49,HYDRA INDUSTRIA Y COMERCIO SA,BRASIL,0,1,1950.0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,ONCH SERVICIOS Y SUMINISTROS INDUSTRIALES SA,CHILE,0,2,920.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,LESAFFRE PERU SAC,CHILE,0,1,2595.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,ONCH SERVICIOS Y SUMINISTROS INDUSTRIALES SA,CHILE,0,2,920.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,ONCH SERVICIOS Y SUMINISTROS INDUSTRIALES SA,CHILE,0,4,1840.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,IMPORTACIONES MIRALDI SA,CHINA,0,1,8400.0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0
55,ELECTRO FERRO CENTRO SAC,VIETNAM DEL NORTE,0,1,10050.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,LAMINADOS SAC,CHILE,2,0,1360.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
57,CORPORACION PERUANA DE PRODUCTOS QUIMICOS SA,MEXICO,1,0,421.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
58,CORPORACION COMERCIAL Y SERVICIOS OCOSHI SA,CHINA,0,1,8110.0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
59,COMPLEJO AGROINDUSTRIAL BETA SA,CHINA,0,1,4809.3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60,FERVAL BABY CARE SAC,PANAMA,0,1,1450.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
61,HYDRA INDUSTRIA Y COMERCIO SA,ALEMANIA,0,1,1950.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
62,MEGABANDA SAC,CHILE,1,0,950.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
63,PROCABLES SA,CHILE,2,0,2900.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,PROCABLES SA,CHILE,0,1,1650.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
65,CODELPA PERU SAC,CHILE,0,1,1740.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
66,FERVAL BABY CARE SAC,PANAMA,0,1,1450.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
67,TANQUE SAFETY COMPANY SAC,CHINA,0,1,5910.0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
68,INTERPAINTS SAC,COSTA RICA,0,1,1740.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
69,HYDRA INDUSTRIA Y COMERCIO SA,ALEMANIA,0,1,2300.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70,DUCASSE PERU SA,CHILE,0,1,3375.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71,MIA SOLAR SRL,CHINA,0,1,5070.0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72,GAMATRACTOR PERU SA,CHINA,1,0,6555.0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
73,INTERPAINTS SAC,CHILE,0,1,1740.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
74,INTERPAINTS SAC,CHILE,0,1,1740.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
75,CODELPA PERU SAC,CHILE,0,1,1740.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
76,CORPORACION AUTOMOTRIZ HERNANDEZ SA,CHINA,0,3,22200.0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
77,FERVAL BABY CARE SAC,PANAMA,0,1,1625.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
78,AMERICAN FENIX EIRL,CHINA,0,1,5600.0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
79,HYDRA INDUSTRIA Y COMERCIO SA,ALEMANIA,0,1,2250.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80,HYDRA INDUSTRIA Y COMERCIO SA,BRASIL,0,2,4500.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81,CABELLOS GAVIDIA GUSTAVO ADOLFO,CHINA,1,0,7625.0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
82,WING KON EIRL,CHINA,0,1,5300.0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
83,INTERPAINTS SAC,CHILE,0,1,1740.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
84,WING KON EIRL,CHINA,0,1,5700.0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
85,FERVAL BABY CARE SAC,PANAMA,0,1,1550.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
86,CORPORACION PERUANA DE PRODUCTOS QUIMICOS SA,ALEMANIA,1,0,2096.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
